t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
303.15,20000.0,7128.94,8803.54,4.40306,3618.9004676725403,0
303.15,22105.3,7128.94,8803.52,4.40306,3618.9004676725403,0
303.15,24210.5,7128.94,8803.51,4.40306,3618.9004676725403,0
303.15,26315.8,7128.94,8803.49,4.40306,3618.9004676725403,0
303.15,28421.1,7128.94,8803.48,4.40306,3618.9004676725403,0
303.15,30526.3,7128.94,8803.46,4.40306,3618.9004676725403,0
303.15,32631.6,7128.94,8803.45,4.40306,3618.9004676725403,0
303.15,34736.8,7128.94,8803.43,4.40306,3618.9004676725403,0
303.15,36842.1,7128.94,8803.42,4.40306,3618.9004676725403,0
303.15,38947.4,7128.94,8803.41,4.40306,3618.9004676725403,0
295.5030597985178,41052.6,7128.94,8803.39,4.40306,3639.628805255575,1
303.15,43157.9,7128.94,8803.38,4.40306,3618.9004676725403,0
303.15,45263.2,7128.94,8803.36,4.40306,3618.9004676725403,0
303.15,47368.4,7128.94,8803.35,4.40306,3618.9004676725403,0
303.15,49473.7,7128.94,8803.33,4.40306,3618.9004676725403,0
303.15,51578.9,7128.94,8803.32,4.40306,3618.9004676725403,0
303.15,53684.2,7128.94,8803.3,4.40306,3618.9004676725403,0
303.15,55789.5,7128.94,8803.29,4.40306,3618.9004676725403,0
412.4092314311604,57894.7,7128.94,8803.27,4.40306,3322.7346584081924,1
303.15,60000.0,7128.94,8803.26,4.40306,3618.9004676725403,0
304.729,20000.0,7128.94,8785.29,4.40306,3614.620318464983,0
304.729,22105.3,7128.94,8785.27,4.40306,3614.620318464983,0
304.729,24210.5,7128.94,8785.26,4.40306,3614.620318464983,0
457.23022457019084,26315.8,7128.94,8785.25,4.40306,3201.239700671679,1
304.729,28421.1,7128.94,8785.23,4.40306,3614.620318464983,0
498.34753149527546,30526.3,7128.94,8785.22,4.40306,3089.784217041348,1
304.729,32631.6,7128.94,8785.2,4.40306,3614.620318464983,0
406.52379728444964,34736.8,7128.94,8785.19,4.40306,3338.6881329485186,1
304.729,36842.1,7128.94,8785.17,4.40306,3614.620318464983,0
304.729,38947.4,7128.94,8785.16,4.40306,3614.620318464983,0
304.729,41052.6,7128.94,8785.14,4.40306,3614.620318464983,0
304.729,43157.9,7128.94,8785.13,4.40306,3614.620318464983,0
304.729,45263.2,7128.94,8785.11,4.40306,3614.620318464983,0
304.729,47368.4,7128.94,8785.1,4.40306,3614.620318464983,0
304.729,49473.7,7128.94,8785.09,4.40306,3614.620318464983,0
304.729,51578.9,7128.94,8785.07,4.40306,3614.620318464983,0
304.729,53684.2,7128.94,8785.06,4.40306,3614.620318464983,0
304.729,55789.5,7128.94,8785.04,4.40306,3614.620318464983,0
304.729,57894.7,7128.94,8785.03,4.40306,3614.620318464983,0
304.729,60000.0,7128.94,8785.01,4.40306,3614.620318464983,0
306.308,20000.0,7128.94,8766.98,4.40306,3610.3401692574253,0
306.308,22105.3,7128.94,8766.96,4.40306,3610.3401692574253,0
306.308,24210.5,7128.94,8766.95,4.40306,3610.3401692574253,0
306.308,26315.8,7128.94,8766.93,4.40306,3610.3401692574253,0
306.308,28421.1,7128.94,8766.92,4.40306,3610.3401692574253,0
306.308,30526.3,7128.94,8766.9,4.40306,3610.3401692574253,0
306.308,32631.6,7128.94,8766.89,4.40306,3610.3401692574253,0
306.308,34736.8,7128.94,8766.87,4.40306,3610.3401692574253,0
306.308,36842.1,7128.94,8766.86,4.40306,3610.3401692574253,0
306.308,38947.4,7128.94,8766.84,4.40306,3610.3401692574253,0
306.308,41052.6,7128.94,8766.83,4.40306,3610.3401692574253,0
306.308,43157.9,7128.94,8766.82,4.40306,3610.3401692574253,0
